Institution,State,No. of visas revoked,Source link
University of Delaware,Delaware,8,"<a  href=""https://www.delawareonline.com/story/news/education/2025/04/10/delaware-college-students-visas-revoked-trump-administration-university-of-delaware/83023628007/"">Click  here</a>"
American University,District of Columbia,unknown,"<a href=""https://awolau.org/7538/print/politics/american-university-student-visas-revoked/"">Click here</a>"
Catholic University of America,District of Columbia,1,"<a  href=""https://religionnews.com/2025/04/16/catholic-university-of-america-student-has-visa-revoked-by-trump-administration/"">Click  here</a><br>"
George Washington University,District of Columbia,10,"<a href=""https://gwhatchet.com/2025/04/24/around-10-current-recently-graduated-students-face-visa-revocations-bracey/"">Click here</a>"
Georgetown University,District of Columbia,10,"<a  href=""https://internationalservices.georgetown.edu/immigration-updates/#_ga=2.78903954.781533028.1744303739-239015664.1729561424"">Click  here</a>"
Howard University,District of Columbia,3,"<a href=""https://www.nbcwashington.com/news/local/students-protest-at-georgetown-as-trump-administration-revokes-student-visas/3890503/"">Click here</a>"
Florida A&M University,Florida,1,"<a  href=""https://www.wctv.tv/2025/04/15/one-famu-three-fsu-international-students-stripped-visas-universities-say/"">Click  here</a><br>"
Florida International  University,Florida,18,"<a  href=""https://www.miaminewtimes.com/news/trump-administration-revokes-visas-of-18-fiu-students-22847221"">Click  here</a>"
Florida State University,Florida,3,"<a  href=""https://www.miamiherald.com/news/local/education/article304201881.html"">Click  here</a>"
Stetson University,Florida,1,Email to Inside Higher Ed
University of Central Florida,Florida,15,Email to <i> Inside Higher Ed </i>
University of Florida,Florida,8,"<a  href=""https://www.wcjb.com/2025/04/11/uf-officials-confirm-us-department-state-revoked-8-uf-student-visas/"">Click  here</a>"
University of Miami,Florida,8,"<a href=""https://themiamihurricane.com/2025/04/23/visa-revocations-hit-um-at-least-8-students-affected/"">Click here</a>"
Emory University,Georgia,4,"<a  href=""https://www.emorywheel.com/article/2025/04/ice-terminates-visas-of-3-emory-alumni-1-current-student"">Click  here</a>"
Georgia Tech,Georgia,1,"<a  href=""https://www.fox5atlanta.com/news/17-international-students-georgia-accuse-ice-violating-due-process-visa-revocation"">Click  here</a>"
Kennesaw State University,Georgia,2,"<a  href=""https://www.wsbtv.com/news/local/atlanta/college-students-across-north-georgia-are-having-their-visas-revoked-lot-fear-right-now/D24RZXKKQJHLJCK5QRMPGYU5DU/"">Click  here</a>"
Mercer University,Georgia,4,"<a href=""https://www.13wmaz.com/article/news/local/four-mercer-graduate-students-student-visas-revoked-since-trump-administration-took-office/93-8b49a084-070c-4fb2-ac3e-83f4336a2c19"">Click here</a><br>"
Underwood University,Georgia,1,"<a href=""https://www.courtlistener.com/docket/69887817/jane-doe-1-v-bondi/"">Click here</a><br>"
University of Georgia,Georgia,unknown,"<a  href=""https://www.redandblack.com/uganews/small-number-of-uga-international-students-impacted-by-visa-cancellation-wave/article_0097db38-8a50-4bcc-9a05-ed69554fe76a.html"">Click  here</a>"
University of Hawaiʻi,Hawaiʻi,“a few”,"<a  href=""https://www.hawaii.edu/news/email/events/hensel_fiscalplanning.html"">Click  here</a>"
College of Idaho,Idaho,1,"<a href=""https://www.idahoednews.org/news/four-university-of-idaho-student-visas-revoked-other-idaho-college-students-spared/"">Click here</a><br>"
University of Idaho,Idaho,2,"<a  href=""https://www.spokesman.com/stories/2025/apr/04/us-government-revokes-two-university-of-idaho-inte/"">Click  here</a>"
Augustana College,Illinois,3,"<a href=""https://www.kwqc.com/2025/04/18/3-students-have-visas-revoked-augustana/"">Click here</a><br>"
DePaul University,Illinois,1,"<a  href=""https://abc7chicago.com/post/depaul-student-visa-revoked-vishnu-nali-slated-graduate-june-fighting-f1-termination-court-complaint-says/16172304/"">Click  here</a><br>"
Eastern Illinois University,Illinois,11,"<a href=""https://www.dailyeasternnews.com/2025/04/21/eastern-students-lose-visa-status/"">Click here</a>"
Illinois State University,Illinois,unknown,"<a  href=""https://www.wglt.org/local-news/2025-04-09/trump-administration-revokes-visas-for-some-isu-students"">Click  here</a>"
Northern Illinois University,Illinois,5,"<a  href=""https://northernstar.info/125009/news/5-niu-international-student-visas-revoked-niu-officials-confirm/"">Click  here</a>"
Northwestern University,Illinois,unknown,"<a  href=""https://dailynorthwestern.com/2025/04/09/lateststories/federal-government-terminates-limited-number-of-northwestern-student-visas/"">Click  here</a>"
"Southern  Illinois University, Edwardsville",Illinois,8,"<a  href=""https://www.theintelligencer.com/news/article/eight-siue-students-have-visas-revoked-20269056.php"">Click  here</a>"
Southern Illinois University,Illinois,1,"<a  href=""https://www.wpsdlocal6.com/news/siu-international-students-visa-revoked/article_419a370a-215a-45d2-9f48-032fdf4edd32.html"">Click  here</a>"
"University  of Illinois, Urbana-Champaign",Illinois,unknown,"<a  href=""https://blogs.illinois.edu/view/7559/1956316896"">Click  here</a>"
University of Chicago,Illinois,7,"<a  href=""https://www.cbsnews.com/chicago/video/7-university-of-chicago-students-visas-revoked-1/"">Click  here</a>"
"University of Illinois,  Chicago",Illinois,unknown,"<a  href=""https://www.chicagotribune.com/2025/04/11/student-visa-revoked-uic/"">Click  here</a>"
Western Illinois University,Illinois,“a small number”,"<a href=""https://www.tspr.org/tspr-local-news/2025-04-10/visas-revoked-for-some-wiu-international-students"">Click here></a><br>"
"Indiana University,  Bloomington",Indiana,unknown,"<a  href=""https://www.idsnews.com/article/2025/04/student-visa-canceled-indiana-university"">Click  here</a>"
"Indiana University,  Indianapolis",Indiana,1,"<a  href=""https://mirrorindy.org/iu-indianapolis-department-homeland-security-student-visa-revoked-f1-trump/"">Click  here</a><br>"
Purdue University,Indiana,unknown,"<a  href=""https://www.purdueexponent.org/campus/general_news/international-purdue-students-have-visas-revoked-after-trump-crackdown/article_a57e4e66-fd1d-4036-89b9-4baff219186d.html"">Click  here</a>"
Trine University,Indiana,1,"<a  href=""https://www.fox5atlanta.com/news/17-international-students-georgia-accuse-ice-violating-due-process-visa-revocation"">Click  here</a>"
University of Notre Dame,Indiana,4,"<a  href=""https://fox59.com/news/aclu-of-indiana-files-lawsuit-against-dhs-after-several-international-students-have-visas-revoked/"">Click  here</a><br>"
